id,name,company_name_cleaned
10206,CHAT MARKETING LIMITED,Chat Marketing
10207,ES-PRINT UK LIMITED,Es-Print
10208,STEPWELL INNOVATE LTD.,Stepwell Innovate
10209,CALVARY SOUTH LAKES LIMITED,Calvary South Lakes
10210,GROWERS BY NATURE LIMITED,Growers By Nature
10211,OPTIMUS ALC LIMITED,Optimus Alc
10212,FUEGO LIFESTYLE LIMITED,Fuego Lifestyle
10213,GLEN CLYDE WHISKY LTD,Glen Clyde Whisky
10214,OONI LIMITED,Ooni
10215,EH1 LIMITED,Eh1
10216,NORIT (UK) HOLDING LIMITED,Norit Holding
10217,BLIND DAVY'S LIMITED,Blind Davy'S
10218,GBMS SCOTLAND LIMITED,Gbms Scotland
10219,DEVAL EVENTS LTD,Deval Events
10220,HIGHLAND STAFF SOLUTIONS LIMITED,Highland Staff Solutions
10221,ONE CALL FACILITIES MANAGEMENT LTD,One Call Facilities Management
10222,KIRKLEES LIMITED,Kirklees
10223,INTEGRA CONSULTING UK LIMITED,Integra Consulting
10224,CITY FINANCIAL CONSULTANCY LIMITED,City Financial Consultancy
10225,CONNEXIONS4LONDON LTD,Connexions4London
10226,BEDFORD AND THOMPSON LTD.,Bedford And Thompson
10227,EU TEST LIMITED,Eu Test
10228,DERBYSHIRE FAMILY HOLDINGS LIMITED,Derbyshire Family Holdings
10229,SPENCER MARINE CONSULTING LTD,Spencer Marine Consulting
10230,PROPERTY DEVELOPMENT SERVICES (UK) 1 LIMITED,Property Development Services 1
10231,ABERNETHY DEVELOPMENTS LIMITED,Abernethy Developments
10232,SERENDIPITY EMS LIMITED,Serendipity Ems
10233,THE SHEFFIELD BATH COMPANY LIMITED,The Sheffield Bath
10234,DUNCREGGAN ENTERPRISES LIMITED,Duncreggan Enterprises
10235,FAIRFIELD TRADING COMPANY LIMITED,Fairfield Trading
10236,FULL CIRCLE RECRUITMENT LTD,Full Circle Recruitment
10237,GEORGESONS ESTATE AGENTS LTD.,Georgesons Estate Agents
10238,CIVILIENCE LIMITED,Civilience
10239,BLOCK BUILD DEVELOPMENTS LTD.,Block Build Developments
10240,MERKLANDS COMMUNICATIONS LIMITED,Merklands Communications
10241,ISEC7 UK LIMITED,Isec7
10242,RBS BUILDING SERVICES LIMITED,Rbs Building Services
10243,THEDON SOLUTIONS LIMITED,Thedon Solutions
10244,DATABASE HOLDINGS LIMITED,Database Holdings
10245,PALMER CAMPBELL LIMITED,Palmer Campbell
10246,SECURE ITT LTD,Secure Itt
10247,G-H COMMERCIAL SERVICES LTD,G-H Commercial Services
10248,FIREFLY LIGHTING DESIGN LTD,Firefly Lighting Design
10249,CREATRIX DESIGN LIMITED,Creatrix Design
10250,UNTANGL LTD,Untangl
10251,HOPSCOTCH (BATH) LIMITED,Hopscotch
10252,HAVENBAY LIMITED,Havenbay
10253,FREE2VOTE,Free2Vote
10254,CROWN TRAVEL (LIVERPOOL) LTD,Crown Travel
10255,BLACKMETRIC BUSINESS SOLUTIONS LIMITED,Blackmetric Business Solutions
10256,GREEN PROCESSING LTD,Green Processing
10257,FIRST LAB DIRECT LIMITED,First Lab Direct
10258,FOCUSED MEMORY PRODUCTIONS LIMITED,Focused Memory Productions
10259,FULLER GILBERT ASSOCIATES LIMITED,Fuller Gilbert Associates
10260,FAB SCIENCE LIMITED,Fab Science
10261,J.M. GLENDINNING GROUP LIMITED,J.M. Glendinning Group
10262,CRAZY DAISY RETAIL LIMITED,Crazy Daisy Retail
10263,DOTTODOT DESIGN LIMITED,Dottodot Design
10264,GIBSONS PHARMACY LIMITED,Gibsons Pharmacy
10265,ADVANTAGE CONTROL N IRELAND LTD,Advantage Control N Ireland
10266,FOREVER ME LTD,Forever Me
10267,PARROCK DARTFORD LIMITED,Parrock Dartford
10268,ASK 4 LEASING LIMITED,Ask 4 Leasing
10269,THE KAIROS COLLECTIVE LIMITED,The Kairos Collective
10270,MJP SERVICES LIMITED,Mjp Services
10271,INTELLIGENT HOMES OF CHESHIRE LTD,Intelligent Homes Of Cheshire
10272,4WOOD TV AND FILM LTD,4Wood Tv And Film
10273,T CHAUHAN CONSULTANCY LIMITED,T Chauhan Consultancy
10274,NOMAD STUDIOS LIMITED,Nomad Studios
10275,HEARTLAND PIPELINES LIMITED,Heartland Pipelines
10276,EUROCUISINE DISTRIBUTION LIMITED,Eurocuisine Distribution
10277,STONEWORKS OF BATH LIMITED,Stoneworks Of Bath
10278,ONE MINUTE BOOKS LTD,One Minute Books
10279,MPU LIMITED,Mpu
10280,PRIMECON LIMITED,Primecon
10281,INSURANCE MEDICAL REPORTING LIMITED,Insurance Medical Reporting
10282,ANDOVER SCHOOL OF ENGLISH LIMITED,Andover School Of English
10283,NIG MAR HOLDINGS LTD,Nig Mar Holdings
10284,SKYLINE PROPERTY SOLUTIONS LIMITED,Skyline Property Solutions
10285,M AKRAM & CO LTD,M Akram
10286,INCITO SYSTEMS LTD,Incito Systems
10287,OMNES HEALTHCARE GENERAL PRACTICE LTD,Omnes Healthcare General Practice
10288,TOTAL BUILD (EAST ANGLIA) LIMITED,Total Build
10289,GROSVENOR DEVELOPMENTS (GB) LIMITED,Grosvenor Developments
10290,CREATIVE HEATING LTD,Creative Heating
10291,ROLL ON FLOORING LTD.,Roll On Flooring
10292,NEXT2DRIVE LIMITED,Next2Drive
10293,AUCKLAND CARE LIMITED,Auckland Care
10294,EPIC CYCLES LIMITED,Epic Cycles
10295,SALBERG PROPERTY LIMITED,Salberg Property
10296,THE STAGE 8 GROUP LIMITED,The Stage 8 Group
10297,BUILDING CONTROL PARTNERSHIP LTD,Building Control Partnership
10298,DETECTRONIC MEICA LIMITED,Detectronic Meica
10299,EASYPLUMBING LIMITED,Easyplumbing
10300,TCR (DERBY) LIMITED,Tcr
10301,BARRATTS LEISURE LIMITED,Barratts Leisure
10302,MARYLEBONE BOOKS LIMITED,Marylebone Books
10303,DENROY GROUP LIMITED,Denroy Group
10304,ALUN GEDRYCH LTD,Alun Gedrych
10305,O'MALLEY PLANT HIRE LIMITED,O'Malley Plant Hire
10306,PIX8 LTD,Pix8
10307,CLOUD AND DEVICES LIMITED,Cloud And Devices
10308,GRAHAM CONGREVE PLUMBING AND HEATING LIMITED,Graham Congreve Plumbing And Heating
10309,BOHEMIAN LEISURE LIMITED,Bohemian Leisure
10310,BANANAMAN MUSICAL LIMITED,Bananaman Musical
10311,ELEMENTS OF LIFE LTD,Elements Of Life
10312,YEO MARKETING LIMITED,Yeo Marketing
10313,IOCHRE CONSULTING LIMITED,Iochre Consulting
10314,SPYDERSECURITY LIMITED,Spydersecurity
10315,WORLD VISION STRATEGIES LIMITED,World Vision Strategies
10316,STOUTZKER FUNDRAISING PARTNERSHIP LTD,Stoutzker Fundraising Partnership
10317,DATACTICS LIMITED,Datactics
10318,KAIN KNIGHT LIMITED,Kain Knight
10319,RCHL GROUP LIMITED,Rchl Group
10320,PLASTERTEK LIMITED,Plastertek
10321,STR DESIGN AND PRINT LIMITED,Str Design And Print
10322,RGA CONSULTING LIMITED,Rga Consulting
10323,DAVID DOUGAN FINANCIAL SERVICES LIMITED,David Dougan Financial Services
10324,ESTHE LTD,Esthe
10325,CLUTCH AND SERVICE CENTRE LIMITED,Clutch And Service Centre
10326,R S ENGINEERING S W LTD,R S Engineering S W
10327,NW TRADING (LOGISTICS) LIMITED,Nw Trading
10328,MINNOW FILMS LIMITED,Minnow Films
10329,JUST IN TIME PLUMBING	 HEATING & BUILDING SERVICES LIMITED,Just In Time Plumbing Heating & Building Services
10330,COHESIVE COMMUNICATIONS (HOLDINGS) LIMITED,Cohesive Communications
10331,MIDGARD BRIGHTON MARINA LIMITED,Midgard Brighton Marina
10332,RANDALL PARKER FOOD GROUP LIMITED,Randall Parker Food Group
10333,PERSONAL BEST CONSULTING LTD,Personal Best Consulting
10334,SOMERTECH LTD,Somertech
10335,BATHROOM WORLD DARLINGTON LIMITED,Bathroom World Darlington
10336,NORTH EAST TRAVELS LTD,North East Travels
10337,DEE PLANT LIMITED,Dee Plant
10338,MEGA FINANCE LIMITED,Mega Finance
10339,MOORE YACHTS LIMITED,Moore Yachts
10340,TRUE PLATINUM LTD,True Platinum
10341,ROLLER TURNING SERVICES LIMITED,Roller Turning Services
10342,NMR LIMITED,Nmr
10343,JLB RESTORATION LTD,Jlb Restoration
10344,SAFARI TRANSPORT LTD,Safari Transport
10345,ELEARNINGUK LIMITED,Elearninguk
10346,MPL MAINTENANCE LTD,Mpl Maintenance
10347,PROPAK ARCHITECTURAL GLAZING LIMITED,Propak Architectural Glazing
10348,DSA BUILDING PERFORMANCE LIMITED,Dsa Building Performance
10349,YORK ELITE LTD,York Elite
10350,MAROTORI LIMITED,Marotori
10351,PROVENANCE & GREEN LTD.,Provenance & Green
10352,FORMOST FABRICATIONS LTD,Formost Fabrications
10353,MES (NW) LIMITED,Mes
10354,IVC NUNEATON LIMITED,Ivc Nuneaton
10355,PAUL DOWNHAM WEALTH MANAGEMENT LTD,Paul Downham Wealth Management
10356,PINNACLE REGENERATION LIMITED,Pinnacle Regeneration
10357,INFINITEVIZIONZ LTD,Infinitevizionz
10358,IDEAS IN ACTION (MIDLANDS) LIMITED,Ideas In Action
10359,LIVE & LEARN ABROAD LIMITED,Live & Learn Abroad
10360,WOOD & PITCHER BARS LIMITED,Wood & Pitcher Bars
10361,VIRIK CONSULTING LTD,Virik Consulting
10362,BUSY BEE CLEANING LIMITED,Busy Bee Cleaning
10363,SIGNAMETRIC LIMITED,Signametric
10364,WOFTE CLOTHING LIMITED,Wofte Clothing
10365,LEAKS LTD,Leaks
10366,WEBWISE PROPERTIES LIMITED,Webwise Properties
10367,KITCHEN CUT LIMITED,Kitchen Cut
10368,NEUROLOGICAL SOLUTIONS LIMITED,Neurological Solutions
10369,GEMINI HEALTH PRODUCTS LIMITED,Gemini Health Products
10370,PENN LASER CLINIC LIMITED,Penn Laser Clinic
10371,GLENIFFER STABLES LIMITED,Gleniffer Stables
10372,RICHMOND PROPERTIES (UK) LIMITED,Richmond Properties
10373,COMPASS FOSTERING CENTRAL LIMITED,Compass Fostering Central
10374,MUTUTE LTD,Mutute
10375,CORNERSTONE CHRISTIAN BOOKS AND CRAFTS,Cornerstone Christian Books And Crafts
10376,P K ELECTRICAL LIMITED,P K Electrical
10377,INTERFIT LIMITED,Interfit
10378,UDM PROPERTIES LIMITED,Udm Properties
10379,MANICKS PRODUCTIONS LTD,Manicks Productions
10380,NOZ-ALLS LIMITED,Noz-Alls
10381,MRS MOPP CLEANING SERVICES (UK) LIMITED,Mrs Mopp Cleaning Services
10382,PENVIRAD LIMITED,Penvirad
10383,EMMETT SHIRTS LIMITED,Emmett Shirts
10384,MPS TRADING LTD.,Mps Trading
10385,TRIFLE LTD,Trifle
10386,4XTRAHANDS LIMITED,4Xtrahands
10387,SVH PARTNERS LIMITED,Svh Partners
10388,WELFORD LOGISTICS LIMITED,Welford Logistics
10389,VIZION HAIR DESIGN LTD,Vizion Hair Design
10390,DATA & VOICE CABLING LTD,Data & Voice Cabling
10391,TREES4LIFE CAMPAIGN LTD,Trees4Life Campaign
10392,MYO FASHION LIMITED,Myo Fashion
10393,BHP GLOBAL LIMITED,Bhp Global
10394,PPL MANAGEMENT LTD,Ppl Management
10395,MILLHOUSE FILM PRODUCTIONS LIMITED,Millhouse Film Productions
10396,PRIMUS SCIENTIFIC LIMITED,Primus Scientific
10397,PROPOLIS LTD,Propolis
10398,PHYZEX LTD,Phyzex
10399,MOUNTAIN VALLEY LTD,Mountain Valley
10400,MAJIQUE LTD,Majique
10401,FUTURE BUSINESS SOLUTIONS LIMITED,Future Business Solutions
10402,MAYHO CONSULTING LIMITED,Mayho Consulting
10403,ICE ASSOCIATES UK LIMITED,Ice Associates
10404,FARRER DESIGNS LIMITED,Farrer Designs
10405,SELECTLINE TECHNOLOGY LIMITED,Selectline Technology
10406,RUBICON BENEFIT COMMUNICATIONS LIMITED,Rubicon Benefit Communications
10407,VULCANHALL LIMITED,Vulcanhall
10408,ON LINE REGISTRARS LIMITED,On Line Registrars
10409,NEIL & CO. LIMITED,Neil
10410,REGUS BUSINESS CENTRES (HOLDINGS),Regus Business Centres
10411,SEP PROPERTIES LIMITED,Sep Properties
10412,ASHBERRY UK LIMITED,Ashberry
10413,FIG CREATIVE LTD,Fig Creative
10414,AVALON INSULATION SERVICES LIMITED,Avalon Insulation Services
10415,POLO GROUND MOTORS LIMITED,Polo Ground Motors
10416,TRU-BACK (UK) LIMITED,Tru-Back
10417,URSA U.K. LIMITED,Ursa
10418,SMILE REHAB LIMITED,Smile Rehab
10419,FALCON GAMES LIMITED,Falcon Games
10420,MULTICOUNT LIMITED,Multicount
10421,REPS UK LIMITED,Reps
10422,S J DANIEL ENGINEERING SERVICES LIMITED,S J Daniel Engineering Services
10423,EMIZON NETWORKS LIMITED,Emizon Networks
10424,V-BANDZ LIMITED,V-Bandz
10425,TECHNOINFO LIMITED,Technoinfo
10426,T.M. WEST PLUMBING SERVICES LIMITED,T.M. West Plumbing Services
10427,VULCAN INVESTMENTS LIMITED,Vulcan Investments
10428,JEREMY CLARK ACCOUNTANTS LTD,Jeremy Clark Accountants
10429,CASWELL MAINTENANCE SERVICES LIMITED,Caswell Maintenance Services
10430,TRAMS UK LIMITED,Trams
10431,SPIRIT (FAITH) LIMITED,Spirit
10432,TLK INTERNATIONAL FOOTWEAR LTD,Tlk International Footwear
10433,THE CHILDREN'S AMAZING RURAL KIDS LIMITED,The Children'S Amazing Rural Kids
10434,THIRD MILLENNIUM HOLDINGS LIMITED,Third Millennium Holdings
10435,SHIRLEY SMITH & CO LTD,Shirley Smith
10436,RASINDECK LIMITED,Rasindeck
10437,REFLEX CONSULTING LIMITED,Reflex Consulting
10438,TRAINING IN TECHNOLOGY LIMITED,Training In Technology
10439,SPECIALIST CARS OF MALTON LIMITED,Specialist Cars Of Malton
10440,INTRADA CHARTERING LIMITED,Intrada Chartering
10441,TECHNICA SOLUTIONS (UK) LIMITED,Technica Solutions
10442,STANLOW PALLETS LIMITED,Stanlow Pallets
10443,O'DONNELL PRINT FINISHERS LIMITED,O'Donnell Print Finishers
10444,RSM DOMESTIC APPLIANCES LIMITED,Rsm Domestic Appliances
10445,THE WORTHIES RESIDENTIAL CARE HOME LIMITED,The Worthies Residential Care Home
10446,ADVANCED HEALTHCARE LTD.,Advanced Healthcare
10447,BRANDVITAL LIMITED,Brandvital
10448,RINGWAY ROADMARKING LIMITED,Ringway Roadmarking
10449,REGIS GROUP (BARCLAYS TWO) LIMITED,Regis Group
10450,QI CONCEPTS LIMITED,Qi Concepts
10451,SIMPSONS INDEPENDENT FINANCIAL ADVISERS LIMITED,Simpsons Independent Financial Advisers
10452,REEVES & REEVES LIMITED,Reeves & Reeves
10453,I.T.S. TRANSPORT (UK) LIMITED,I.T.S. Transport
10454,ALCO KNITTING MACHINE SERVICES LIMITED,Alco Knitting Machine Services
10455,CRYSTAL BLINDS (UK) LIMITED,Crystal Blinds
10456,OWNASHARE CRUISING LIMITED,Ownashare Cruising
10457,AERODYNAMIC TEST EQUIPMENT LIMITED,Aerodynamic Test Equipment
10458,KING BUILDERS & DECORATORS LIMITED,King Builders & Decorators
10459,J. G. SERVICES (NORWICH) LTD,J. G. Services
10460,STELLAR PDP LIMITED,Stellar Pdp
10461,LINKWAY DISTRIBUTION SERVICES LIMITED,Linkway Distribution Services
10462,JAMES & JAMES FINANCIAL ADVISERS LIMITED,James & James Financial Advisers
10463,THE ARTICHOKE RESTAURANT LIMITED,The Artichoke Restaurant
10464,BIOENERGON GREEN ENERGY LTD,Bioenergon Green Energy
10465,WITHERNAY LIMITED,Withernay
10466,EYE CANDY ILLUSTRATION LIMITED,Eye Candy Illustration
10467,E3 CONSULTING LIMITED,E3 Consulting
10468,COUNTRYWIDE MOTORHOMES LTD.,Countrywide Motorhomes
10469,TUDOR CAR SERVICES LIMITED,Tudor Car Services
10470,RAPTOR PEST SERVICES LIMITED,Raptor Pest Services
10471,SOFWAY LIMITED,Sofway
10472,LONDON VISION CLINIC LIMITED,London Vision Clinic
10473,ASSETS LIMITED,Assets
10474,PRESSURE TREATMENT SERVICES LIMITED,Pressure Treatment Services
10475,CRICKHOWELL RESOURCE AND INFORMATION CENTRE,Crickhowell Resource And Information Centre
10476,ACORN BATHROOMS LIMITED,Acorn Bathrooms
10477,TALKING PIG ENTERPRISES LIMITED,Talking Pig Enterprises
10478,MELLOW 1557 LIMITED,Mellow 1557
10479,THOROKLEEN HOLDINGS LIMITED,Thorokleen Holdings
10480,CES EVENTS LIMITED,Ces Events
10481,DIAMOND ADMINISTRATION SUPPORT LIMITED,Diamond Administration Support
10482,CANDUTU LIMITED,Candutu
10483,ACK (HOLDINGS) LIMITED,Ack
10484,RESOLVE HUMAN RESOURCES LIMITED,Resolve Human Resources
10485,KOGNOS UK LIMITED,Kognos
10486,VIRGIN MEDIA PCHC II LIMITED,Virgin Media Pchc Ii
10487,AMS ENVIRONMENTAL LTD,Ams Environmental
10488,IAN FLEMING LIMITED,Ian Fleming
10489,CHANNEL INSTALLATIONS LIMITED,Channel Installations
10490,THRELFALLS (SALFORD) LIMITED,Threlfalls
10491,EURO-PEARLS LIMITED,Euro-Pearls
10492,NORTH EAST STORAGE SERVICES LIMITED,North East Storage Services
10493,M.B.T.FROZEN FOODS LIMITED,M.B.T.Frozen Foods
10494,ISLAND TRUSTEES LIMITED,Island Trustees
10495,ROSS YOUNG'S HOLDINGS LIMITED,Ross Young'S Holdings
10496,CHARLES CHURCH ESTATES LIMITED,Charles Church Estates
10497,THIRLSTONE (JLP) LIMITED,Thirlstone
10498,PERSIMMON HOMES (WALES) LIMITED,Persimmon Homes
10499,KABZA HOLDINGS LIMITED,Kabza Holdings
10500,PEEL SOUTH WEST LIMITED,Peel South West
10501,P. P. PAYNE LIMITED,P. P. Payne
10502,LACETREND LIMITED,Lacetrend
10503,CREST NICHOLSON RESIDENTIAL LIMITED,Crest Nicholson Residential
10504,ASPIN RAIL LIMITED,Aspin Rail
10505,HULL CITYCARE (INTERMEDIATE 1) LIMITED,Hull Citycare
10506,FOSTER WHEELER (LONDON) LIMITED,Foster Wheeler
10507,HILL HOUSE MANAGEMENT LIMITED,Hill House Management
10508,ASSOCIATED BRITISH FOODS PENSION TRUSTEES LIMITED,Associated British Foods Pension Trustees
10509,GREAT WOODCOTE PARK MANAGEMENT LIMITED,Great Woodcote Park Management
10510,SIMON HOLLIS LIMITED,Simon Hollis
10511,ORBIT DEVELOPMENTS (PROPERTIES) LIMITED,Orbit Developments
10512,RAYBAIN (NORTHERN) LIMITED,Raybain
10513,PALL MALL REGISTRARS LIMITED,Pall Mall Registrars
10514,HAFREN UPHOLSTERY LIMITED,Hafren Upholstery
10515,WALTER COX (FINANCE) LIMITED,Walter Cox
10516,SHOTS LIMITED,Shots
10517,DRIPS LIMITED,Drips
10518,PERSIMMON HOMES (ESSEX) LIMITED,Persimmon Homes
10519,FORESTFERN LIMITED,Forestfern
10520,BARCLAYS CAPITAL SECURITIES CLIENT NOMINEE LIMITED,Barclays Capital Securities Client Nominee
10521,NOTNEEDED NO. 144 LIMITED,Notneeded No. 144
10522,SPACE MODELS 2008 LIMITED,Space Models 2008
10523,MIRA VENTURES LIMITED,Mira Ventures
10524,AR PRINTS LIMITED,Ar Prints
10525,CHARLES CHURCH THAMES VALLEY LIMITED,Charles Church Thames Valley
10526,BUTLER & WILSON (WHOLESALE) LIMITED,Butler & Wilson
10527,CAPE BUILDING PRODUCTS LIMITED,Cape Building Products
10528,M & D FOUNDATIONS LIMITED,M & D Foundations
10529,THE OGDEN GROUP OF COMPANIES LIMITED,The Ogden Group Of Companies
10530,AUTO CENTRE,Auto Centre
10531,KETTERING BITUMINOUS PRODUCTS LIMITED,Kettering Bituminous Products
10532,BDP COMPUTING SERVICES LIMITED,Bdp Computing Services
10533,PILKINGTON INVESTMENTS GERMANY UNLIMITED,Pilkington Investments Germany
10534,CAMBARD LIMITED,Cambard
10535,NORDIC DATA MANAGEMENT LIMITED,Nordic Data Management
10536,GREY NETWORK LIMITED,Grey Network
10537,WHITE ROSE ENVIRONMENTAL OPERATIONS LIMITED,White Rose Environmental Operations
10538,12 MOORGATE TENANT LIMITED,12 Moorgate Tenant
10539,LITTLE & LITTLE LTD,Little & Little
10540,T A COSTELLO & CO. LTD.,T A Costello
10541,HOLBORN BARS NOMINEES LIMITED,Holborn Bars Nominees
10542,TEACHRIGHT (HBB) LIMITED,Teachright
10543,AWL (BATCH) LIMITED,Awl
10544,SAVVY CONCIERGE SERVICES LIMITED,Savvy Concierge Services
10545,TWW GROUP LIMITED,Tww Group
10546,13 MEARD STREET TENANT LIMITED,13 Meard Street Tenant
10547,55 COLMORE ROW TENANT LIMITED,55 Colmore Row Tenant
10548,INTERNATIONAL HORSE SALES LIMITED,International Horse Sales
10549,DEVANEY MEDICAL LLP,Devaney Medical
10550,PINLOMA CONSULTING LLP,Pinloma Consulting
10551,J.N. HOLDINGS LIMITED,J.N. Holdings
10552,DR MARTENS LIMITED,Dr Martens
10553,LITESOME SPORTSWEAR LIMITED,Litesome Sportswear
10554,SLAZENGERS LIMITED,Slazengers
10555,GEO.WRIGHT & CO.(CONTRACTORS WOLVERHAMPTON)LIMITED,Geo.Wright & Co.Limited
10556,PLAN IT PRESS LLP,Plan It Press
10557,WYE RESIDENTIAL LLP,Wye Residential
10558,SHELL EXPLORATION AND PRODUCTION TANZANIA LIMITED,Shell Exploration And Production Tanzania
10559,VEGE CO LTD,Vege
10560,SHAW RENEWABLES LIMITED,Shaw Renewables
10561,ABSOLUTE ACTION LTD,Absolute Action
10562,CAPEN LIMITED,Capen
10563,WHITEHEAD-ROSS EDUCATION AND CONSULTING LIMITED,Whitehead-Ross Education And Consulting
10564,BRITISH SOCIETY OF GASTROENTEROLOGY,British Society Of Gastroenterology
10565,DING STUDIO LTD,Ding Studio
10566,WELCOMEHOME CLEANING LIMITED,Welcomehome Cleaning
10567,FUTURE ENERGY SOLUTIONS LTD,Future Energy Solutions
10568,PICKWICKS OF WELLS LIMITED,Pickwicks Of Wells
10569,WARMAWAY LIMITED,Warmaway
10570,GRANTHAM CARPETS LIMITED,Grantham Carpets
10571,BUCKLEY HOLDING COMPANY LIMITED,Buckley Holding
10572,HILARYM EVENTS LIMITED,Hilarym Events
10573,SLYBEST CLEANING SERVICES & MERCHANDISE LIMITED,Slybest Cleaning Services & Merchandise
10574,TP3 GLOBAL EUROPE LIMITED,Tp3 Global Europe
10575,SILVER PEBBLE LTD,Silver Pebble
10576,QUALITY COMPLIANCE SYSTEMS LTD,Quality Compliance Systems
10577,QUANTEX SYSTEMS LTD.,Quantex Systems
10578,KATMAR PROPERTIES LIMITED,Katmar Properties
10579,KM PLUMBING AND CONSTRUCTION LIMITED,Km Plumbing And Construction
10580,ANDERSON INDEPENDENT FUNERAL DIRECTORS LIMITED,Anderson Independent Funeral Directors
10581,PEARL&TURQUOISE LIMITED,Pearl&Turquoise
10582,MEMO EVENTS LTD,Memo Events
10583,FULFILLMENT LOGISTICS UK LIMITED,Fulfillment Logistics
10584,MUSSONS HEATING LIMITED,Mussons Heating
10585,YORKSHIRE DALES ICE CREAM LIMITED,Yorkshire Dales Ice Cream
10586,PSR SOLICITORS LIMITED,Psr Solicitors
10587,THE MISSION TO SEAFARERS,The Mission To Seafarers
10588,THE RUGBY AGENTS LTD,The Rugby Agents
10589,SENSA PERSONAL CARE LIMITED,Sensa Personal Care
10590,TOMMY'S HAIR COMPANY THREE LIMITED,Tommy'S Hair Company Three
10591,PELIZAR INTERNATIONAL LTD,Pelizar International
10592,A A CARPETS AND FURNITURE STORE LIMITED,A A Carpets And Furniture Store
10593,CYCLEWISE WHINLATTER LTD,Cyclewise Whinlatter
10594,BAKER PROPERTY CONSULTANTS LIMITED,Baker Property Consultants
10595,WHITEHEAD CONTRACTING LIMITED,Whitehead Contracting
10596,LJR BEAUTY LIMITED,Ljr Beauty
10597,STRATHAIRLY ASSOCIATES LIMITED,Strathairly Associates
10598,OAKLEIGH MANOR LIMITED,Oakleigh Manor
10599,CITY MAINTENANCE UK LIMITED,City Maintenance
10600,BRITTEN (UK) LIMITED,Britten
10601,RAKE REMEDIATION LIMITED,Rake Remediation
10602,MPC GLOBAL BUSINESS VENTURE LIMITED,Mpc Global Business Venture
10603,FALCON BRASSWORKS LIMITED,Falcon Brassworks
10604,STAYHOME STAIRLIFTS LTD,Stayhome Stairlifts
10605,AERO CONSULTANTS LTD,Aero Consultants
10606,PANEL - LINE LIMITED,Panel - Line
10607,LONDON SCHOOL OF MODERN STUDIES LTD,London School Of Modern Studies
10608,KEITH J SMITH LTD,Keith J Smith
10609,WARWICK BIDCO LIMITED,Warwick Bidco
10610,OTHO LIMITED,Otho
10611,JONVERO LTD,Jonvero
10612,QXV COMMUNICATIONS LIMITED,Qxv Communications
10613,SJAK LTD,Sjak
10614,LIVERPOOL CARNIVAL COMPANY LIMITED,Liverpool Carnival
10615,COMPLISURE SERVICES LTD,Complisure Services
10616,SPIRIT EXECUTIVE LTD,Spirit Executive
10617,WORLDWIDE INDEPENDENT TRAVEL NETWORK (WIN) LTD.,Worldwide Independent Travel Network
10618,PETER SHEPPARD ELECTRICAL SERVICES LIMITED,Peter Sheppard Electrical Services
10619,INFINITE HEATING LIMITED,Infinite Heating
10620,UK COSTUMES 4U LTD,Uk Costumes 4U
10621,STAMBERG AUTOS LIMITED,Stamberg Autos
10622,EXHIBITION RENTAL LIMITED,Exhibition Rental
10623,THE PERFECT COLLECTION LIMITED,The Perfect Collection
10624,TRILOGY FREIGHT LIMITED,Trilogy Freight
10625,VALE & HILLS LIMITED,Vale & Hills
10626,NCK AUTOS LTD,Nck Autos
10627,CHALK MEDIA LIMITED,Chalk Media
10628,SES TECHNOLOGIES UK LIMITED,Ses Technologies
10629,FAB ENERGY SOLUTIONS LTD,Fab Energy Solutions
10630,MAX LEGAL LIMITED,Max Legal
10631,CHENEY MANOR DENTAL PRACTICE LIMITED,Cheney Manor Dental Practice
10632,44 DESIGN LIMITED,44 Design
10633,THE VELVET CLOSET LTD,The Velvet Closet
10634,ORBIT 360 LTD,Orbit 360
10635,ROXENE'S SALON HAIR AND BEAUTY LTD,Roxene'S Salon Hair And Beauty
10636,SEPRO SOLUTIONS LTD,Sepro Solutions
10637,BREAK4HOLIDAYS LTD,Break4Holidays
10638,PREMIUM CUTTING SERVICES LIMITED,Premium Cutting Services
10639,FIFTH PLANET PRODUCTIONS C.I.C.,Fifth Planet Productions
10640,DIPPERMOUTH,Dippermouth
10641,ESTEEM COSMETIC CLINIC LIMITED,Esteem Cosmetic Clinic
10642,ERNEST PARK LTD,Ernest Park
10643,BEAUTY WITH CARE LIMITED,Beauty With Care
10644,KITCHEN RESTAURANTS AND BARS LIMITED,Kitchen Restaurants And Bars
10645,MICHAEL J BLACKWELL LIMITED,Michael J Blackwell
10646,INGENIUM CONSTRUCTION SERVICES LIMITED,Ingenium Construction Services
10647,MP4 DESIGN LIMITED,Mp4 Design
10648,BT BENSON LTD,Bt Benson
10649,VIVALDA GROUP PLC,Vivalda Group
10650,CONTRA ACCOUNTING LTD,Contra Accounting
10651,ACREEDO TATTOOS LIMITED,Acreedo Tattoos
10652,REINS LIMITED,Reins
10653,THE CROWN GOOSTREY LIMITED,The Crown Goostrey
10654,KS GLOBAL LIMITED,Ks Global
10655,HARTLEY AND PARRY DEVELOPMENTS LIMITED,Hartley And Parry Developments
10656,PLASTER PLUS INTERIORS LTD,Plaster Plus Interiors
10657,PHB BUSINESS SOLUTIONS LTD,Phb Business Solutions
10658,MOORE MECHANICAL SERVICES LIMITED,Moore Mechanical Services
10659,IN2STONE LIMITED,In2Stone
10660,GREENPOWER SERVICE LTD,Greenpower Service
