id,name,company_name_cleaned
214,DESSERT ISLAND RUW LTD,Dessert Island Ruw
215,IMPACT PEOPLE COACHING LIMITED,Impact People Coaching
216,B.J. ROBERTS LIMITED,B.J. Roberts
217,BRIGHT COOK & CO (S&P) LIMITED,Bright Cook
218,ACHIEVE FINANCIAL FREEDOM LIMITED,Achieve Financial Freedom
219,JANE HANCOCK CONSULTING LIMITED,Jane Hancock Consulting
220,EGHAM BOARDING CATTERY LTD,Egham Boarding Cattery
221,B.S. HOLDINGS LIMITED,B.S. Holdings
222,INDIA LEGAL SERVICES LIMITED,India Legal Services
223,INTERTEC BUSINESS SYSTEMS LTD,Intertec Business Systems
224,BELLE CASA (HERTS) LIMITED,Belle Casa
225,VINEYARD BELFAST LIMITED-THE,Vineyard Belfast Limited-The
226,LETS PARTY & LETS DANCE LIMITED,Lets Party & Lets Dance
227,ALAN JONES ARCHITECTS LIMITED,Alan Jones Architects
228,BIDPARTNERS LIMITED,Bidpartners
229,LAZYSOFT LIMITED,Lazysoft
230,HALLAM & SUTHERNS SAAB SERVICE LTD,Hallam & Sutherns Saab Service
231,HAWKSMERE LIMITED,Hawksmere
232,GLOUCESTER SAUSAGE COMPANY LIMITED,Gloucester Sausage
233,K & K SERVICES LIMITED,K & K Services
234,JOANNA WALLIS HANDPAINTED LAMPS LIMITED,Joanna Wallis Handpainted Lamps
235,CHRYSALIS DISCOS LIMITED,Chrysalis Discos
236,BLADE INDUSTRIES LIMITED,Blade Industries
237,BUANDRA LTD,Buandra
238,LA MODA LIMITED,La Moda
239,FIXTURE SIGNS (SOUTH) LIMITED,Fixture Signs
240,EUROSLIT LIMITED,Euroslit
241,SHACKLETON RESOURCES LTD,Shackleton Resources
242,K CONTRACTS LIMITED,K Contracts
243,BESTPORT GENERAL PARTNER LIMITED,Bestport General Partner
244,DIGILINE LTD,Digiline
245,FARRELL CONTRACTS LTD,Farrell Contracts
246,KA TRAINING SERVICES LTD,Ka Training Services
247,DYSON CONSTRUCTION LIMITED,Dyson Construction
248,MULHOLLAND SCRAP METALS LTD,Mulholland Scrap Metals
249,AXFORD ENGINEERING SERVICES LIMITED,Axford Engineering Services
250,FIDO INSPECTIONS LIMITED,Fido Inspections
251,HOT TEN TOT CLOTHING LIMITED,Hot Ten Tot Clothing
252,ASYLIA LTD,Asylia
253,LINDEN SIGNS LTD,Linden Signs
254,ADÃ‰LYE LTD.,Adã‰Lye
255,CONYGAR HOLDINGS LIMITED,Conygar Holdings
256,LEES LIMITED,Lees
257,CHALMERS AND SHORT LIMITED,Chalmers And Short
258,CLIP CLOP DAY NURSERY LTD,Clip Clop Day Nursery
259,DELBECK LIMITED,Delbeck
260,HORSLEY HICK & FLOWER LIMITED,Horsley Hick & Flower
261,BOLTON OF NEW FARNLEY LTD,Bolton Of New Farnley
262,GREENWAYS CONSTRUCTION LIMITED,Greenways Construction
263,GROVE ELECTRICAL (UK) LIMITED,Grove Electrical
264,GREN CRAIG MOTORS LIMITED,Gren Craig Motors
265,CENTURYWISE LIMITED,Centurywise
266,DIRECTORZONE MARKETS LTD,Directorzone Markets
267,TOYS OF WOOD OXFORD LTD,Toys Of Wood Oxford
268,H. H. BURKE & COMPANY LIMITED,H. H. Burke
269,COBRA BUILDING SERVICES LIMITED,Cobra Building Services
270,AWAS CONSULTING LIMITED,Awas Consulting
271,CONVEYOR EQUIPMENT SERVICES LIMITED,Conveyor Equipment Services
272,EIRSCOT ENGINEERING LIMITED,Eirscot Engineering
273,MANOR PARK FLOORING LIMITED,Manor Park Flooring
274,CONTROL & SYSTEMS ENGINEERING LIMITED,Control & Systems Engineering
275,LEISURE FURNITURE DIRECT LTD,Leisure Furniture Direct
276,HOMES & LAND RESIDENTIAL LTD,Homes & Land Residential
277,MARKBUILD LTD,Markbuild
278,SAVANNA RAWSON LTD,Savanna Rawson
279,STRAIGHT UP TREES LTD,Straight Up Trees
280,D B LOUNT & SONS LIMITED,D B Lount & Sons
281,BLUE ELVIN LIMITED,Blue Elvin
282,D S INSTALLATIONS LIMITED,D S Installations
283,PROMPTING LTD,Prompting
284,SAM GIBSON PRODUCTIONS LIMITED,Sam Gibson Productions
285,MAKAN FILMS LIMITED,Makan Films
286,THE HAIRDRESSING COMPANY (HITCHIN) LIMITED,The Hairdressing
287,DOMUS LONDON LTD,Domus London
288,PLANK PRODUCTIONS LIMITED,Plank Productions
289,REVOLVE PROJECTS LTD,Revolve Projects
290,RIVERSIDE SOURDOUGH LIMITED,Riverside Sourdough
291,CREST KITCHENS AND JOINERY LTD.,Crest Kitchens And Joinery
292,MEXPOWER LIMITED,Mexpower
293,WATERING HOLE LTD,Watering Hole
294,YOU TOUR LIMITED,You Tour
295,BUSY BOOKS (WESTBURY) LTD,Busy Books
296,OPENAUDIENCE LTD,Openaudience
297,SEED PARTNERS LTD,Seed Partners
